f,a1,a2,t1,t2
0.179,0.0147,0.0058,0.4816,0.1778
0.18,0.0147,0.0059,0.4816,0.1772
0.181,0.0147,0.0059,0.4816,0.1651
0.182,0.0147,0.0059,0.4816,0.1649
0.183,0.0147,0.0059,0.4816,0.1584
0.184,0.0147,0.0059,0.4816,0.1582
0.185,0.0147,0.0059,0.4816,0.1612
0.186,0.0147,0.0058,0.4816,0.1643
0.187,0.0147,0.0058,0.4816,0.1641
0.188,0.0146,0.0058,0.4816,0.1639
0.189,0.0146,0.0057,0.4816,0.1637
0.19,0.0145,0.0057,0.4816,0.1635
0.191,0.0144,0.0056,0.4816,0.1667
0.192,0.0144,0.0056,0.4816,0.1665
0.193,0.0145,0.0055,0.4816,0.1662
0.194,0.0145,0.0054,0.4816,0.166
0.195,0.0146,0.0053,0.4816,0.1658
0.196,0.0146,0.0052,0.4816,0.1656
0.197,0.0146,0.0052,0.4816,0.1654
0.198,0.0146,0.0053,0.4816,0.1685
0.199,0.0146,0.0053,0.4816,0.1683
0.2,0.0146,0.0054,0.4816,0.1681
0.201,0.0146,0.0054,0.4816,0.1715
0.202,0.0146,0.0055,0.4816,0.1674
0.203,0.0146,0.0056,0.4816,0.167
0.204,0.0146,0.0056,0.4816,0.1666
0.205,0.0145,0.0056,0.4816,0.166
0.206,0.0145,0.0057,0.4816,0.1535
0.207,0.0144,0.0057,0.4821,0.15
0.208,0.0144,0.0057,0.4821,0.15
0.209,0.0143,0.0057,0.4821,0.1467
0.21,0.0143,0.0056,0.4821,0.1465
0.211,0.0142,0.0056,0.4821,0.1433
0.212,0.0141,0.0056,0.4821,0.1494
0.213,0.014,0.0055,0.4826,0.1856
0.214,0.0139,0.0055,0.4826,0.1835
0.215,0.0138,0.0054,0.4826,0.1804
0.216,0.0137,0.0053,0.4826,0.1812
0.217,0.0136,0.0053,0.4826,0.1818
0.218,0.0135,0.0053,0.4826,0.1826
0.219,0.0133,0.0053,0.4832,0.1796
0.22,0.0132,0.0053,0.4832,0.1806
0.221,0.0131,0.0053,0.4832,0.1388
0.222,0.013,0.0053,0.4832,0.1388
0.223,0.013,0.0053,0.4832,0.1386
0.224,0.013,0.0053,0.4837,0.1384
0.225,0.0131,0.0053,0.4837,0.1382
0.226,0.0132,0.0053,0.4837,0.138
0.227,0.0133,0.0053,0.4837,0.1351
0.228,0.0134,0.0053,0.4837,0.1376
0.229,0.0135,0.0054,0.4842,0.1374
0.23,0.0136,0.0054,0.4842,0.1372
0.231,0.0136,0.0055,0.4842,0.137
0.232,0.0137,0.0055,0.4842,0.1368
0.233,0.0137,0.0055,0.4842,0.1366
0.234,0.0138,0.0056,0.4842,0.1364
0.235,0.0138,0.0056,0.4842,0.1388
0.236,0.0138,0.0056,0.4842,0.1384
0.237,0.0138,0.0056,0.4847,0.1378
0.238,0.0138,0.0056,0.4847,0.1258
0.239,0.0137,0.0056,0.4847,0.1256
0.24,0.0137,0.0055,0.4847,0.1256
0.241,0.0137,0.0055,0.4847,0.1618
0.242,0.0137,0.0055,0.4847,0.1594
0.243,0.0138,0.0054,0.4847,0.16
0.244,0.0139,0.0054,0.4847,0.1606
0.245,0.014,0.0053,0.4847,0.1612
0.246,0.0141,0.0054,0.4847,0.1618
0.247,0.0142,0.0055,0.4847,0.1624
0.248,0.0143,0.0055,0.4847,0.1632
0.249,0.0143,0.0056,0.4847,0.1646
0.25,0.0144,0.0056,0.4847,0.1218
0.251,0.0145,0.0056,0.4847,0.1216
0.252,0.0145,0.0057,0.4847,0.1216
0.253,0.0145,0.0057,0.4847,0.1214
0.254,0.0146,0.0057,0.4842,0.1212
0.255,0.0146,0.0057,0.4842,0.121
0.256,0.0146,0.0057,0.4842,0.1851
0.257,0.0146,0.0057,0.4842,0.19
0.258,0.0146,0.0057,0.4842,0.189
0.259,0.0146,0.0057,0.4842,0.1864
0.26,0.0145,0.0057,0.4842,0.186
0.261,0.0145,0.0057,0.4842,0.1856
0.262,0.0144,0.0056,0.4837,0.1929
0.263,0.0144,0.0056,0.4837,0.1925
0.264,0.0145,0.0056,0.4837,0.1921
0.265,0.0145,0.0056,0.4837,0.1919
0.266,0.0146,0.0056,0.4837,0.1876
0.267,0.0146,0.0056,0.4832,0.1836
0.268,0.0147,0.0056,0.4832,0.1869
0.269,0.0147,0.0056,0.4832,0.1867
0.27,0.0147,0.0056,0.4832,0.1865
0.271,0.0147,0.0056,0.4832,0.1861
0.272,0.0148,0.0055,0.4826,0.1859
0.273,0.0148,0.0055,0.4826,0.1855
0.274,0.0148,0.0054,0.4826,0.1853
0.275,0.0147,0.0054,0.4826,0.189
0.276,0.0147,0.0053,0.4821,0.1847
0.277,0.0147,0.0052,0.4821,0.1845
0.278,0.0149,0.0052,0.4821,0.1804
0.279,0.015,0.0052,0.4821,0.1802
0.28,0.0152,0.0051,0.4821,0.1798
0.281,0.0153,0.0051,0.4816,0.1833
0.282,0.0154,0.0052,0.4816,0.1829
